f_assimilator,delta15N_mean,delta15N_ci68_lower,delta15N_ci68_upper,delta15N_ci95_lower,delta15N_ci95_upper
0.3434343434343435,5.489225744532935,4.366735010390928,6.589107925302746,3.5633944966047344,7.388847983990916
0.3535353535353536,5.583508754475216,4.504629627281191,6.675535689428997,3.708404509621872,7.484287394522422
0.36363636363636365,5.6711578898625445,4.568966705481698,6.771370421187752,3.7372208230880846,7.620220316017757
0.37373737373737376,5.739719135551067,4.615407143896759,6.870208243370515,3.803845382616654,7.684368354220663
0.38383838383838387,5.8017185286915645,4.6848812812737926,6.918348246006781,3.857225808023628,7.712858724728843
0.393939393939394,5.885461895944365,4.781486739921586,6.99714123122556,3.932450125532047,7.815780110686586
0.4040404040404041,5.949476702094508,4.866751544734903,7.031111271593893,3.996987122370562,7.870701567316425
0.4141414141414142,6.0032056022508,4.886864513841059,7.1094968487523085,4.056721457211308,7.911209822151376
0.42424242424242425,6.026021228189711,4.922215947399096,7.135770718467192,4.069924969315374,7.971816345614068
0.43434343434343436,6.0051932717301835,4.893033224614895,7.1534661806391115,4.085672947752084,7.974278275557863
0.4444444444444445,6.086947073949553,4.983746856145487,7.197217392901998,4.067688679003859,8.016309389830008
0.4545454545454546,6.13326180166931,5.004987414015246,7.23841477178425,4.150222660438041,8.082572763236026
0.4646464646464647,6.142258921664809,5.013908520889715,7.2486025737009925,4.157607678535446,8.0772766133912
0.4747474747474748,6.117996263291103,4.986896271940793,7.231261093829025,4.147685969045425,8.066827871950254
0.48484848484848486,6.180848800774091,5.020719674711599,7.3192595410160814,4.172913385886318,8.168925982396667
0.494949494949495,6.163112986365871,5.053380413854939,7.290819302552269,4.189301343013215,8.099402158052117
0.5050505050505051,6.140125774660335,5.024176505361737,7.248288947667959,4.190275224095184,8.111775360081516
0.5151515151515152,6.153729796694019,5.04928561531809,7.279938421056898,4.188192094706693,8.10957634366287
0.5252525252525253,6.1511296231667805,5.032324517324215,7.278561823961551,4.175044449566471,8.106486640638504
0.5353535353535354,6.1331881973405595,5.027545509416384,7.242510159753432,4.169108863632188,8.122723578847731
0.5454545454545455,6.090359734954626,4.959889323127392,7.187793568320742,4.1421468698223185,8.090976943596527
0.5555555555555556,6.074351140456655,4.941201845174375,7.1994304900064945,4.131616562787904,8.062201864170833
0.5656565656565657,6.025905433952023,4.924985283232292,7.127393364246802,4.07542222309174,8.016250746854832
0.5757575757575758,5.99425657743508,4.894139879121243,7.114426009426235,4.074794307867453,7.942070958754739
0.5858585858585859,5.948627345855479,4.822874689692197,7.066842566062377,3.983827647799779,7.898356884911032
0.595959595959596,5.8940913726431425,4.794213477978842,7.008164585986537,3.9629317012484258,7.809304246646786
0.6060606060606061,5.8517173087912955,4.757905470196863,6.9535560552803934,3.8826404782472124,7.77401450761177
0.6161616161616162,5.800976568635184,4.708890082842541,6.871391205528027,3.8892856520256984,7.722129062256971
0.6262626262626263,5.7354128200992305,4.6423499962797425,6.82523701101163,3.840882033646653,7.622953595879881
0.6363636363636365,5.688248812244808,4.596025180420253,6.789418362656407,3.777381349047078,7.623288192447477
0.6464646464646465,5.587840351037407,4.488655694277154,6.726365219651612,3.6432741944055507,7.481247099148613
0.6565656565656566,5.495520355100955,4.422376450695919,6.575695044301917,3.6027898939020124,7.402699280633917
0.6666666666666667,5.430465710836992,4.338239006382028,6.52851764791134,3.50336083186771,7.313689551507877
0.6767676767676768,5.300309132490951,4.202928124391093,6.413269230660651,3.4462583415139783,7.222605930425428
0.686868686868687,5.248349672470217,4.144785129316155,6.335486889643397,3.3928143075058075,7.13351689900211
0.696969696969697,5.128435423305876,4.05877810697138,6.201072441235652,3.258859329802733,7.0085391915268875
0.7070707070707072,5.040531382782459,3.953169595245651,6.143891840120345,3.175061607469368,6.844492282946044
0.7171717171717172,4.882547837853783,3.8202196694509234,5.953898202343367,3.090948192680777,6.718512585677127
0.7272727272727273,4.762459329657412,3.7364157993408402,5.80362500058755,2.9615692505130347,6.587253854599877
0.7373737373737375,4.653035336867947,3.5984702421447157,5.70304756732659,2.860783034468147,6.44046419739009
